,z,a,b,wolfram,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_abserr,stan_inc_beta_abserr,stan_inc_beta_strict_abserr,inbeder_abserr,stan_grad_reg_inc_beta_relerr,stan_inc_beta_relerr,stan_inc_beta_strict_relerr,inbeder_relerr,stan_grad_reg_inc_beta_abserr_log,stan_inc_beta_abserr_log,stan_inc_beta_strict_abserr_log,inbeder_abserr_log,stan_grad_reg_inc_beta_relerr_log,stan_inc_beta_relerr_log,stan_inc_beta_strict_relerr_log,inbeder_relerr_log
82,0.75,15.0,125.0,31654354706431398322594906112,-9.366065655640661899291732777598450017454462419863592259616780211217701435089111328125E-15,-3.7747582837255314485794424504969836507714347172137703267935648909769952297210693359375E-15,-3.7747582837255314485794424504969836507714347172137703267935648909769952297210693359375E-15,-1.185477252525529331018921951084779686878424542457560995051230386418567000359094650235448902448957140786477531706072174763043652483146784428857771487297867452070931904017925262451171875E-58,3.165435470643139832259490611E+28,3.165435470643139832259490611E+28,3.165435470643139832259490611E+28,3.165435470643139832259490611E+28,1.000000000000000000000000000,1.000000000000000000000000000,1.000000000000000000000000000,1.000000000000000000000000000,65.62467323942556,65.62467323942556,65.62467323942556,65.62467323942556,0.0,0.0,0.0,0.0
83,0.75,15.0,1250.0,4.180403358056043572332782787270843982696533203125,4.11373669138937625433527500717900693416595458984375,-0,-0,-0,0.06666666666666731799750778009,4.180403358056043572332782787,4.180403358056043572332782787,4.180403358056043572332782787,0.0159474244364946678818976069,1,1,1,-2.7080502011022003,1.4304077390237093,1.4304077390237093,1.4304077390237093,-4.138457940125909,0.0,0.0,0.0
84,0.75,15.0,12500.0,6.47261451716371283282569493167102336883544921875,6.40594785049704551482818715157918632030487060546875,-0,-0,-0,0.06666666666666731799750778009,6.472614517163712832825694932,6.472614517163712832825694932,6.472614517163712832825694932,0.0102998048918075415429715165,1,1,1,-2.7080502011022003,1.8675801253667161,1.8675801253667161,1.8675801253667161,-4.575630326468916,0.0,0.0,0.0
85,0.75,150.0,1.25,-1.39349806213246296559645831474445557016028847420927006504898226779687320231460034847259521484375E-19,-1.426911808161162805287163105183177107109184044150137723495908037563140169368125498294830322265625E-19,-1.426911808160927360351461765600141013805703036785446440569413706356272086850367486476898193359375E-19,-1.42691180816116400899337834720558526709539815972971180980943817218076219432987272739410400390625E-19,-1.4269118081552923300754277618985808543429423625673187724094415074205244309268891811370849609375E-19,3.341374602869983969070479044E-21,3.341374602846439475500345086E-21,3.341374602870104339692003246E-21,3.341374602282936447896944715E-21,0.023978322565850543661253940,0.023978322565681584017821756,0.023978322565851407463111978,0.023978322561637781999603844,-47.147904672807506,-47.147904672814555,-47.14790467280747,-47.147904672983195,-3.7306050832118602,-3.7306050832189066,-3.7306050832118243,-3.730605083387551
86,0.75,150.0,12.5,-7.132096057744390175939648863893439989514178023455315269529819488525390625E-10,-7.4244293931394833080576338128916090430831076218964881263673305511474609375E-10,-7.4244293930370266494352844225128491839615918479466927237808704376220703125E-10,-7.42442939313950502154871332986807441756127445842139422893524169921875E-10,-7.4244293931395453466035752899672243987350128691105055622756481170654296875E-10,2.923333353950931321179849490E-11,2.923333352926364734956355586E-11,2.923333353951148456090644660E-11,2.923333353951551706639264261E-11,0.040988418135179605353827711,0.040988418120814030662626409,0.040988418135182649829239107,0.040988418135188303855003128,-24.255711498165752,-24.25571149851623,-24.255711498165677,-24.25571149816554,-3.194465736691908,-3.194465737042387,-3.1944657366918334,-3.1944657366916958
87,0.75,150.0,125.0,-1148327534834442904742246891784488293435601082582482069164747567304540160,-1.39700300637355962279059185067798780767282795789441252054530195891857147216796875E-13,-3.45834472170697387276551973148519837360052864294601704386877827346324920654296875E-14,-3.45834472170697387276551973148519837360052864294601704386877827346324920654296875E-14,-3.64804620473103219298907515464650255497557930495222677791389287449419498443603515625E-14,1.148327534834442904742246892E+72,1.148327534834442904742246892E+72,1.148327534834442904742246892E+72,1.148327534834442904742246892E+72,1.000000000000000000000000000,1.000000000000000000000000000,1.000000000000000000000000000,1.000000000000000000000000000,165.924433261865,165.924433261865,165.924433261865,165.924433261865,0.0,0.0,0.0,0.0
88,0.75,150.0,1250.0,1.948890000701740010669027469702996313571929931640625,1.942223334035074078229854421806521713733673095703125,-0,-0,-0,0.006666666666665932439173047896,1.948890000701740010669027470,1.948890000701740010669027470,1.948890000701740010669027470,0.0034207506140754249171352293,1,1,1,-5.010635294096366,0.6672599800931543,0.6672599800931543,0.6672599800931543,-5.67789527418952,0.0,0.0,0.0
89,0.75,150.0,12500.0,4.15039263841574523894450976513326168060302734375,NaN,-0,-0,-0,NaN,4.150392638415745238944509765,4.150392638415745238944509765,4.150392638415745238944509765,NaN,1,1,1,,1.4232029414336502,1.4232029414336502,1.4232029414336502,,0.0,0.0,0.0
90,0.75,1500.0,1.25,-5.4449854949247317529227858880959288509316310800148808084205686067520527815666769988953965585037087403846792620070394372510824647436128070683434404972832610069762311194054355919400934038375828801923471040460185439374872230211359023820563773689574644029312283723044430469172643323404740924534408302159058190002300376317327752367996271679385768794833629332637498025845492475589539908245176371073096574981786548495647876304022832969418232433330862994787235908944467155379243195056915283203125E-188,-5.4576465083149501409994442152740926491312025236293377330791008570320408254529435942739894383483914791214180647782961201655999206053473405933048745646543295786566521254581165641022755311632485588622636257156388609288642127835956979280113446704901598906958990192530058319304238456743268034369867214926973790944062941553648864454283665670273278503596361470057933019064061795155712136148861978650949827379252340045215464203940453931067821461989040339631007459075817678240127861499786376953125E-188,-5.457646508314935469288476199654680377376658689444124385240197762843516627809672126119345701190648664557997140186128094746464187114392390059320757465040693221987802311630059957734710949262753376022966248575413183557247049861374620711177970545478370237437081658414728137344215073146362240605736544201921210032879575099210521211484392164486023867150648255389845331696119751205906157180135590640845444186276915158095673496632081700267220048103370051185978528707209989079274237155914306640625E-188,-5.457646508314948227298013604541125831076262023518222948578374366485711582282082098427731559588685894613145770266274203806582216236961912262785207116878637879960715193219674398054332324828401361100616141740826816054305452402436426986685252393314709066357792406969752219593092266648940121328562785324335270086381069930649099675783500340608896896028029030708060957965934036692571423645136118661931999448579801111509476039033789259258143611664703949253041326272750666248612105846405029296875E-188,-5.4576465083148889025536646718191544713731065200736646290558531595495050439853757271937373180378127748567046403935947966770333808170136340166755162358321952203866702938279672505680929284481382304895441385216534249429838805864990278055763918008757335118764874261888902371358133168619529759674207641051098908375991189644597098167926473216375373117482084254783582958112976091795779345828836633638795174788713814281352942168658491099503490411045013232411993175929865174111910164356231689453125E-188,1.266101339021838807665832718E-190,1.266101339020371636569031156E-190,1.266101339021647437522771645E-190,1.266101339015714963087878372E-190,0.002325261178752397467971532,0.002325261178749702931690087,0.002325261178752046006717430,0.002325261178741150707840284,-437.2552253017295,-437.25522530173066,-437.2552253017297,-437.25522530173436,-6.063922911304648,-6.063922911305807,-6.0639229113047985,-6.063922911309485
91,0.75,1500.0,12.5,-3.420261965853612967289670231157242206477913710416313315062142756669868378151474397968274968577614359523607941254160784624039534955969859639272650511145331132149580906686504363770586706255370818539575813333012134273133888127768812063232580259391424959253494777528104322692923266469061079091627747077692229499630362044554774596777858257904302080246147674594163478595494752368913257019294580316769280488309323828843844239600002765655517578125E-167,-3.428614572601804811227251468562509986674108599300509629215179843273119564108042441733033602461342264198246676528553751319581129589009994510701376076612663073233067747913846710504108228816838551662948114860549974072521636977351212089924870054923665362060222546237878122485108326195154958589603037744700869928494323957435403375643645325389587898914388738307510173041656346378284110696367411642927259564361808230614769854582846164703369140625E-167,-3.4286145726014244957485399196626790245592555314839791112457962499994400948928970680000040925163656331961103688364141926139479888643877383805053068519802691096717000132838678291807185258278763698660811645384072923979272945638201752949411289852974089404190248974164191343034248838696638196091315142036416577819288744555659776147203079347042351538084677440693006087519233747258810466723442646492917874889716500774738960899412631988525390625E-167,-3.42861457260180857672704069181894395659603783759572280266042126498870054895175675236405369661921331995074307561461453902953789335856070991793104012834169667683268525023691580833899327538108570197776857971522465408910177898144557879086530313482095502960122450315690246890274875631718952432208295381936482252400487296240440759109833183420825475777682359963660135684650518768177324994413001705870582859481121573708151117898523807525634765625E-167,-3.428614572328867830705108638505207753523971704386930893714064779787246546257436387124936700998885522550253882132841697897498762982774703038624116170032553199997876363502586885830347084552093992342301774562913524284140669002913007803949680011738319187090778010444762124803227532690506231808358248232626517980064467386121452044328614716668456857730874104993779735900182840792910531570781496515441084081687872497923308401368558406829833984375E-167,8.352606748191843937581237405E-170,8.352606747811528458869688505E-170,8.352606748195609437370460662E-170,8.352606475254863415438407348E-170,0.002442095614774711987141109,0.002442095614663517148117534,0.002442095614775812926141342,0.002442095534974689869822240,-389.31689213343253,-389.31689213347806,-389.3168921334321,-389.31689216610937,-6.014898749770734,-6.014898749816267,-6.014898749770284,-6.014898782447597
92,0.75,1500.0,125.0,-1.65451553447442990776285745452885521935785092848615387778270788620150740602315111009161977672591152141113239136115479334514741045772714536292694379812760674023312383575383107274015849486037410542849102057516574859619140625E-74,-1.6615641502875122075342151614824430429598908024904803442655639943424166415016118716301299372820574613171972098031097669389597728308928626221083594931906018072604572641915190389392338772556190207296822336502373218536376953125E-74,-1.6615641502833595071900505086366482675477288121985747499592304599662974798724009555530557434047607353151323499580394518121013964722210036163974290149763388743204470098279890919647379908530293590729343122802674770355224609375E-74,-1.661564150287515742081510175845561271915698392608943286420732993946103521816976246345913336917474112587673716682115406511131299725845392103009758998988211828671130622645204661175168288356207568767786142416298389434814453125E-74,-1.66156345181268931301215487315419677493100009429042064753361237992291543580560226639776693117814289213887504255200821237034560787524226908113062414834835086474557068813847472929872924919669774368458092794753611087799072265625E-74,7.048615813082299771357706954E-77,7.048615808929599427193054108E-77,7.048615813085834318652721317E-77,7.047917338259405249297418625E-77,0.004260229454612735902035464,0.004260229452102816679376856,0.004260229454614872205516070,0.004259807291865792339384577,-175.34622090156418,-175.3462209021533,-175.34622090156367,-175.3463200003732,-5.458432257566246,-5.458432258155397,-5.458432257565744,-5.458531356375289
93,0.75,1500.0,1250.0,-2.873993551518315925363822316E+916,NaN,-3.29736238313671429396946187742029199874214777377101626143485191278159618377685546875E-14,-3.29736238313671429396946187742029199874214777377101626143485191278159618377685546875E-14,-4.765870469122874980257298158522110428851248399876805931666281963582110189184896239903687609140582110351413310502653438073324829733349651662363687128535361017171350098459342081668548022252036184040985914424669075938750782458465450428354341137172150711524577616000053714476436108739656506705362204456832841970026493072509765625E-120,NaN,2.873993551518315925363822316E+916,2.873993551518315925363822316E+916,2.873993551518315925363822316E+916,NaN,1.000000000000000000000000000,1.000000000000000000000000000,1.000000000000000000000000000,,inf,inf,inf,,0.0,0.0,0.0
