,z,a,b,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_log,stan_inc_beta_log,stan_inc_beta_strict_log,inbeder_log
99,0.75,15000.0,12500.0,3.2315710013790523e-05,0.21338816239000152,0.2636394663700048,9.287171000323725e-05,-10.33995706784324,-1.5446424131151184,-1.3331727668855229,-9.284291479475868
100,0.999,1.5,1.25,0.6528652696800055,2.3251759994309396e-05,3.0432399980782066e-05,5.5800810005166566e-05,-0.42638449613914103,-10.669129730115936,-10.400002728260286,-9.793722172460745
101,0.999,1.5,12.5,1.2641005218400096,4.332510001404444e-05,4.041053998662392e-05,6.6698800001177e-05,0.23436081933473912,-10.046778413904924,-10.116419916265228,-9.615323596191388
102,0.999,1.5,125.0,3.27582400132087e-05,4.642168001737446e-05,4.3770530028268694e-05,7.725532999756979e-05,-10.3263560240731,-9.977743966101743,-10.036549797438656,-9.46839464783429
103,0.999,1.5,1250.0,2.705317998334067e-05,3.758096001547529e-05,5.373685999074951e-05,9.70695700016222e-05,-10.51770600012329,-10.189013018390524,-9.831411386131393,-9.240082620026172
104,0.999,1.5,12500.0,3.2056340023700615e-05,4.453294997802004e-05,5.451731998618925e-05,8.373373002541484e-05,-10.348015577508605,-10.019281193844883,-9.816992108870407,-9.387868674484896
105,0.999,15.0,1.25,0.6757197880300009,4.1914059984264896e-05,5.4124089983815794e-05,0.00010361710999859497,-0.3919768036226791,-10.079889226840361,-9.824231185015005,-9.17480808734879
106,0.999,15.0,12.5,1.326780664729995,4.569022003124701e-05,5.081660998257576e-05,8.157450996804982e-05,0.2827554551250597,-9.993626286658799,-9.887287288661337,-9.41399372263686
107,0.999,15.0,125.0,3.8515910018759316e-05,4.3657719979819374e-05,5.909016999794403e-05,9.248419999494217e-05,-10.164439154793158,-10.039130430381563,-9.736445975678285,-9.288472738901222
108,0.999,15.0,1250.0,3.915740999218542e-05,4.5095610003045297e-05,5.8078279980691147e-05,9.56737699743826e-05,-10.147920881606069,-10.006725655372003,-9.753718802543778,-9.2545663830259
109,0.999,15.0,12500.0,3.312492997793015e-05,4.056424000737025e-05,5.264792001980823e-05,9.874120998574653e-05,-10.31522438753393,-10.11262366747406,-9.851883825961279,-9.223008170947484
110,0.999,150.0,1.25,0.6653308586200001,4.260144996806048e-05,5.5766260011296254e-05,0.00014540825002768543,-0.40747083029477277,-10.063622268459257,-9.79434153075293,-8.835965254256601
111,0.999,150.0,12.5,1.197212110449982,3.469373001280474e-05,5.530727001314517e-05,0.00010120820999873103,0.17999561259006694,-10.268951578611734,-9.802606193101248,-9.198330677931809
112,0.999,150.0,125.0,4.4910279975738376e-05,4.835013001866173e-05,5.471455999213504e-05,8.891215999028646e-05,-10.010843836732683,-9.93704164695459,-9.813380704940421,-9.327861642005455
113,0.999,150.0,1250.0,3.784603999520186e-05,4.371474002255127e-05,5.8413589977135415e-05,8.804744000372011e-05,-10.181984207194889,-10.03782521244847,-9.747961990113787,-9.337634797792028
114,0.999,150.0,12500.0,4.3779760017059746e-05,4.3086270015919583e-05,5.141346999153029e-05,9.353262998047284e-05,-10.036338947450142,-10.052306172721497,-9.875610357743398,-9.277200198801925
115,0.999,1500.0,1.25,0.7268617277099838,2.9550079998443833e-05,5.075360997579992e-05,0.0006478884999887669,-0.31901901526028587,-10.42942410689269,-9.8885278100441,-7.341791944335951
116,0.999,1500.0,12.5,1.1034082503600076,2.5591440025891642e-05,4.1857910000544505e-05,9.018223001476144e-05,0.09840379904412416,-10.573252636382811,-10.08122977051241,-9.313678156792255
117,0.999,1500.0,125.0,2.2791100018366706e-05,2.6622670011420267e-05,3.5817190000670964e-05,5.29898599779699e-05,-10.689140448281936,-10.533747449072182,-10.237082612184693,-9.84540998388676
118,0.999,1500.0,1250.0,2.6328320018365048e-05,2.6544729989836925e-05,3.377035998710198e-05,5.54433599972981e-05,-10.544865391339183,-10.53667932377028,-10.29592706365613,-9.800148598907226
119,0.999,1500.0,12500.0,2.648090998263797e-05,2.6573979994282126e-05,3.3440539991715925e-05,5.606321999948705e-05,-10.539086462582679,-10.535578016625948,-10.305741621800523,-9.789030575427512
120,0.999,15000.0,1.25,0.6482529158800026,1.9103580016235355e-05,0.00013688245999219362,0.0001419568699930096,-0.433474356494031,-10.865634805070519,-8.89638795665263,-8.859987278942649
121,0.999,15000.0,12.5,0.9534710172599807,4.283410002244636e-05,9.563567000441253e-05,0.00023129268000047888,-0.0476462505651664,-10.058176043100577,-9.254964690296864,-8.371826636437007
122,0.999,15000.0,125.0,2.5087370013352483e-05,2.9622570000356063e-05,4.8022820010373835e-05,5.320722997566918e-05,-10.593146025186481,-10.426973987177675,-9.943834243148396,-9.841316269052195
123,0.999,15000.0,1250.0,2.6320480028516613e-05,2.7242809992458205e-05,3.6279619998822454e-05,5.682008999428945e-05,-10.545163213507946,-10.51072092515825,-10.224254406895056,-9.775620597690676
124,0.999,15000.0,12500.0,2.6381889983895235e-05,2.8271139999560546e-05,3.452153003308922e-05,5.598562998784473e-05,-10.5428327686662,-10.473669061654046,-10.273927369640637,-9.790415507518343
